abbreviation	keggId	pubChemId	cheBlId	hmdb
2mpdhl	C04424	11953835	17577	HMDB0006868
HC01377	C05119	440566	27462	HMDB0006867
HC01115	C03410	123802	62084	HMDB0000833
HC01254	C04244	169508	17248	HMDB0002065
HC00361	C00447	164735	17969	HMDB0060274
HC10859		22833583	86047	HMDB0002095
HC01712	C06157	11953879	28391	HMDB0006832
HC00576	C00884			
HC00718	C01210	439436	16463	
HC01522	C05585	70949	28508	HMDB0004062
HC00460	C00628	3469	17189	HMDB0000152
HC00900	C02170	487	30860	HMDB0000202
HC01231	C04079	440217	18416	HMDB0006834
HC01501	C00320	1084	16094	HMDB0000257
HC00832	C01721	6857362	17617	HMDB0060267
HC01376	C05118	440565	28692	HMDB0006869
HC00664	C01097	439396	4251	HMDB0006873
HC01180	C03785	440117	4250	HMDB0006872
HC01415	C05276	5280769	27537	HMDB0003949
c8crn	C02838	11953814	18102	HMDB0000791
C02470	C02470	5699	217069	HMDB0000881
HC00955	C02512	439742	16934	HMDB0060245
C02528	C02528	10133	16755	HMDB0000518
HC01412	C05273		27721	
3hddcoa	C05262	440603	27668	HMDB0003936
HC01223	C04047	45259165	15481	
HC01587	C05744			
HC01321	C04618			
HC01255	C04246			
HC01588	C05745			
HC01322	C04619			
HC01596	C05753			
HC01597	C05754			
HC01323	C04620			
HC01593	C05750			
HC01594	C05751			
HC01326	C04633			
HC01605	C05762			
HC01606	C05763			
HC01602	C05759			
HC01603	C05760			
HC01710	C06148	440923		HMDB0006823
HC01601	C05758			
HC01397	C05258	440600	27402	HMDB0003932
3htdcoa	C05260	440602	27466	HMDB0003934
3hdcoa	C05264	16061159	28325	HMDB0003938
dc2coa	C05275	5280768	10723	HMDB0003948
HC01405	C05266	53477508	28632	HMDB0003940
HC01406	C05267	440608	28264	HMDB0003941
HC01407	C05268	440609	28276	HMDB0003942
HC01459	C05450	440677	27458	HMDB0006890
HC01589	C05746			
HC01590	C05747			
HC01591	C05748			
HC01592	C05749			
HC01595	C05752			
HC01598	C05755			
HC01599	C05756			
HC01600	C05757			
HC01652	C05923	440841	929	HMDB0006821
HC02228	C06123			
HC01842	C13482	151438	31997	
HC01797	C10905			
HC00001				
HC00002				
HC00003				
HC00004				
HC00319	C00383	867	30794	HMDB0000691
HC01787	C08241			
HC01852	C00393			
HC01939				
HC01942				
HC01943				
HC01944	C05780			
HC00005				
HC02222	C03688			
HC00006				
HC00007				
HC00008				
HC00009				
HC02110	C05103	22212495	1949	HMDB0001217
HC02020	C11251	246520	3663	HMDB0000885
HC02021				
HC02022		118246	82750	HMDB0062461
HC02023	C14641	5283632	46898	HMDB0000918
HC02024	C15441	5287939	41509	HMDB0000610
HC02025				
HC02026				
HC02027				
HC02029				
HC02030				
HC02031				
HC02032				
HC02033				
HC02036				
HC02097				
HC02098				
HC02099				
HC01988				
HC02111	C00002	5957	15422	HMDB0000538
HC02112	C00004	928	16908	HMDB0001487
HC02113				
HC02114	C01352	446013	17877	HMDB0001197
HC02115				
HC02116				
HC02121	C14180	447123	48926	HMDB0004662
HC02129				
HC02136				
HC02223	C03688			
HC10856				
HC10857				
HC10858				
HC02192	C02592	53477716	36259	HMDB0000722
HC02193	C15557	115245	37998	HMDB0000698
HC02195				
HC02196		12310288	542261	HMDB0000708
HC02220				
HC02154				
HC02199				
HC02200				
HC02201				
HC02172	C00038	32051	29105	HMDB0001303
HC02191	C03990	11740284	16325	HMDB0000761
HC02194	C07880	31401	9907	HMDB0000946
HC02197	C11301	53477756		HMDB0002639
HC02198	C03642	440071	17864	HMDB0002580
HC02187			28774	HMDB0060074
HC02180	C05963	5283137	28728	HMDB0003252
HC02202	C04685	5281912	15545	HMDB0002656
HC02203	C05953	5280880	27820	HMDB0002752
HC02204	C00959	5280388	27624	HMDB0002982
HC02205	C05954	5288144	28099	HMDB0004236
HC02206	C04686	5280715	15546	HMDB0060104
HC02207	C05955	5280882	27555	HMDB0060095
HC02208	C06438	5280936	27696	HMDB0005102
HC02210	C13802	5282260	34939	HMDB0003034
HC02213	C06439	5280937	28031	HMDB0002664
HC02214	C06475	5280939	28852	HMDB0002685
HC02216	C02314	5280506	28922	HMDB0001483
HC02217	C05956	5280883	27647	HMDB0003235
no2	C00088	946	16301	HMDB0002786
C01241	C01241		15958	
C04308	C04308			
glcn	C00257	10690	33198	HMDB0000625
CE2421		53481430		HMDB0012477
CE0713				
C10164	C10164	1018	28747	HMDB0002243
CE2251		25229571		
CE2247		25229587		
CE2243				
CE2250		25229584		
CE2246		25229586		
CE2242				
docoscoa		53481548		HMDB0012930
CE2253		25229583		
CE2249		25229585		
CE2245				
docosac	C08281	8215	28941	HMDB0000944
CE2248		24906329		
CE1935				
CE1940		19913541		
CE1943				
CE1944	C15668	79803	19092	HMDB0012497
CE2011		124985	133907	HMDB0012974
CE1936		217390		
CE1939		145925		
CE2705	C02953	252	64277	HMDB0000038
CE1787				
CE2846				
CE2847		3081391	24108	HMDB0060278
CE2848				
CE2870				
CE2866		107564		
maltttr		439639		
CE2873				
CE2872		67894139		
CE2875				
CE2874				
CE2876				
CE2877				
CE2754	C07639	53393659	28774	
CE2878				
CE2879				
CE2880				
CE2881		65552		
CE2885				
CE2882		22660069		
CE2886				
maltpt		13489094		
CE2883		5803		
CE2887				
CE2884		4532725		
CE2888				
malthx		439606		
CE2915		4424653		
CE4722				
CE2916				
CE4723				
CE2917		53481538		
CE4724				
malthp				
CE2839		53481573		HMDB0012999
CE2838		53481575		HMDB0013001
CE1950				HMDB0012916
cynt	C01417	105034	29195	HMDB0002078
C01836	C01836	25078013	7542	
CE2862		53481584		
CE2863		53481585		HMDB0013024
CE2858		53481552		
CE2751				
CE2890		53481551		
CE2891		25075991		
CE4753		53481556		
CE4754		53481557		
CE0737	C19440	10964	566274	HMDB0006112
CE1243		182416		
CE1352		152971		
N1aspmd	C00612	496	17927	HMDB0001276
n8aspmd	C01029	123689	27911	HMDB0002189
CE1059		44237220		HMDB0041947
N1sprm	C02567	916	17312	HMDB0001186
C03413	C03413	132680	28101	HMDB0002172
CE2028		69362	37084	HMDB0000754
CE2201		13072270		HMDB0006720
CE2202		17756748		
CE2203				
CE2204				
C01507	C00392	6251	16899	HMDB0000765
srb_L	C00247	441484	10295	HMDB0001266
CE5101	C11557		16500	
CE0469		11183554		
C03693	C03693	3036654		
CE2434				
CE0849				
CE2433				
CE0785		21252281		
CE2432				
C05279	C05279	53480665		HMDB0011123
CE2420		53481428		HMDB0012476
CE2417				
CE2418		53481423		HMDB0012473
CE2422				
CE2424				
CE0693				
C05280	C05280	5280771	28002	HMDB0003952
CE4788	C18170	5460495	30322	HMDB0012880
CE2180		53477797		HMDB0005895
C05298	C05298	440623	1156	HMDB0000343
C05301	C05301	247304	28744	HMDB0000338
CE2183				
CE2186	C05302	53481522	28955	HMDB0012782
CE2189		194066		
C05299	C05299	440624	1189	HMDB0000010
CE2184		53480676		HMDB0011195
CE5250				
CE5239				
CE4888	C05578	114683	27404	HMDB0004058
CE5277				HMDB0060279
CE5278		53481550		
CE5256				
CE5252		53481559		HMDB0012941
CE5255				
CE5251		53481560		HMDB0012942
CE5254				
CE5253				
CE5249				
CE5236		53481588		HMDB0013031
CE1918		9061		HMDB0001855
CE0233				
CE1272		53477712		HMDB0000655
CE1273		6453659		HMDB0002208
CE1277		5284212		
CE1279		21252253		HMDB0000556
CE1278		5284194		HMDB0002180
CE5242		53481501		
CE5243				
CE5244		53481521		
CE4990		5280876		
CE5531				
CE4993				
CE1298				
CE1292				
CE3038		3081084		
CE2345				
CE1589		24820763	58810	
tdechola	C05463	2733768	9410	HMDB0000896
23cump	C02355	439715	28637	HMDB0011640
3ump	C01368	101543	28895	HMDB0060282
CE5586		23657850		
CE5588		122083		
CE1617		449171		
CE5591				
CE5592				
CE5593		14015984		
CE5594		6419708		
CE1261	C17935	10663203		
CE5026				
CE1262				
C09642	C09642	54456	123715	HMDB0005199
CE5626		7055179		HMDB0013068
CE5627		6999659		HMDB0013067
CE5629			193796	HMDB0012490
C09640	C09640	442356	761542	HMDB0012469
CE4890		124148		HMDB0003892
C06350	C06350	18519	28770	HMDB0012486
CE1401		134505		
CE1761		4363341		
CE5653		54518673		
CE5654		9995780		
CE2957	C16679	6506224		HMDB0012452
CE5656	C16238	23724672	55451	HMDB0059635
CE2566				
CE2568		3934		
CE5661		53481477		
CE5662		53481470		
CE2569				
C11695	C11695	5281969	2700	HMDB0004080
CE5698		53481441		
CE5272				
CE1264				
CE5274				
C02712	C02712	6180	165927	HMDB0011745
CE1554		132213		
CE1556		99715		
C02356	C02356	80283	35619	HMDB0000452
CE1661				
CE1665				
CE2565		3246888		
CE1957		447364		
C13856	C13856	5282280	52392	HMDB0004666
CE5700				
CE3481		53481443	78209	HMDB0012496
CE5726		52193688		HMDB0013043
CE5727				
CE4980		53481593		HMDB0013045
CE5730				
C05957	C05957	5280884	27485	HMDB0002710
CE4877		404025		
CE2065		10221026		
CE2026		169485		
dchac	C04483	222528	28834	HMDB0000626
CE2020		40486877	59002	HMDB0062617
CE2176		1670		HMDB0001434
C02442	C02442	9727	17458	HMDB0003633
bgly	C01586	464	18089	HMDB0000714
CE2934		 C01586	91637	613303
CE2152		107838		
CE2153		159959		
CE2172		36937	110006	HMDB0006044
CE2173				HMDB0060065
CE2174		3016280		
CE2122		74706	72782	HMDB0029738
CE5747			71980	HMDB0060196
CE5752				HMDB0060193
CE5753				
CE5754				
CE5755				HMDB0060195
CE2953		536537		
CE2958				
CE2961		54359871		
CE2962				
CE5756		5281877		
CE5757				
CE1162		6436043	1260188	HMDB0013117
CE2955				
C03681	C03681	92810	28952	HMDB0003759
CE2211	C13712	92786	50169	HMDB0001449
CE5072	C13713	101771	805752	HMDB0000879
CE5082				
CE5775				
CE5776				
CE1293				
CE1297		129846		HMDB0002027
CE1294				
CE1310		12035		
C05300	C05300	115116	776	HMDB0000335
CE2963		536537		
CE2964		92945		
CE5932				
CE5013		6449967		
CE5014		5287678		HMDB0062447
CE3136				
CE5782		44291156		
CE5783		53481604		
CE5786		147043		
CE5788		53481565		
CE5789		53481566		
CE5794		53481579		
CE5795		53481577		HMDB0013016
CE5796		53481578		
CE5797		53481583		HMDB0013022
CE5798		53481582		HMDB0013021
CE5456		439960		
CE5276		162602		
CE5025				
CE5787		53481564		
CE5791		53481568		
C03958	C03958	638678	35940	HMDB05763
CE5820				
CE5241				
CE5240		53481502		
CE5021				
CE5022		24205		HMDB0034408
CE2072		53477800	89478	HMDB0006078
CE1941		171763		HMDB0006009
CE1937		125245		
CE2576		55189		
CE2577			58972	HMDB0060285
CE4936		53477792		
CE5835				
CE5837				
CE5838				
CE5839				
CE5840				
CE5655		53481467		HMDB0012561
CE5842		53481465	84962	HMDB0012559
CE5843		53481461		
CE2196		53481438		
C05302	C05302	66414	28955	HMDB0000405
CE4898		53481463		
CE1925		9943542		
CE5853				
CE1926		133098		
CE5854				
C05109	C05109	440560	28113	HMDB0006839
CE4968		546304	70984	HMDB0000678
CE4970		193872	240943	HMDB0000339
CE4969		10855600	70979	HMDB0000730
CE5860		390658		HMDB0062497
CE2095				
CE3086		10948689		
CE3092				
CE5829				
CE5865		40489070		
CE5866		6992388		
CE5867		14181658		
CE5868				
CE5869				
CE5016				
CE5875				
CE5068		193896		
CE2102		53481572		HMDB0012996
C06948	C06948	3016	49575	HMDB0014967
C07486	C07486	2997	111762	HMDB0060538
CE3140		21125948		
CE3087	C20157	64961	109895	HMDB0012897
C09209	C09209	5281404	5623	HMDB0035196
C06453				
CE4633	C19697	24341	24757	HMDB0059650
CE4881		13932711		
CE5536		5898		
CE5541		10313383		
CE5538		10176277		
CE5542		53481587		
CE5546				
CE5547				
CE5544				
CE5545				
CE5665	C17756	147311		HMDB0012992
CE5643	C16845	104806	25941	HMDB0002179
CE6000		53356689	62726	HMDB0062504
CE6205		12835	114833	HMDB0001896
CE6252			89161	HMDB0060260
CE2949				
CE2947		53481609		
CE5982				
C01041	C01041	439374	16504	
CE2615				
CE2616				
CE5166	C17343	15942888	37643	HMDB0060307
CE4872	C01301	439479	16466	HMDB0003533
CE5530	C06341	440985	18431	HMDB0006281
CE1274				
C01290	C01290	20057304		HMDB0004866
CE7047				
CE5986				
C01747	C01747	22833541	16874	HMDB0000648
C02744	C02744	53481594	17507	HMDB0013046
C03405	C03405			
CE2119				
CE5125			64039	
CE5126	C01089	441	20067	HMDB0000357
C05284	C05284	94141	27967	HMDB0006773
CE3075		129544		
alltn	C01551	204	15676	HMDB0000462
alltt	C00499	203	30837	HMDB0001209
CE0328	C06429	445580	28125	HMDB0002183
CE6423				
CE6426				
CE6429				
CE6435				
CE6432				
CE6438				
CE6420				
CE6444				
CE6445				
CE6447				
CE6446				
CE6448				
CE6449				
CE6451				
CE6450				
CE6453		53481519		
CE6452				
CE6454				
CE6455		53481533		
CE6456				
CE6457				
CE6458				
CE6459				
CE6460		53481475		
CE6461				
CE6462				
CE6463				
CE6464		53481484		
CE6465				
CE6467				
CE6466		53481510		
CE0074	C07599	5781	730073	HMDB0002818
CE7122				
C02147	C02147	421	18047	HMDB0012210
CE2592		53481439		HMDB0012487
CE0853		440601		
CE1102				
CE0782				
CE2597		53481515		HMDB0012674
CE0692				
C03372	C03372	6857386	15835	HMDB0011750
CE2591				
CE0784				
CE2594				
CE2596				
CE0695				
CE0955	C05961	5280888	28158	HMDB0002886
CE2206		5283703		
CE2207		10478755		
C03968				
CE4795				
CE5114				
CE4791				
CE4793				
CE2439				
CE2440				
CE2437				
CE2438				
CE2442				
CE2441				
CE5115				
CE5116				
CE5117		53481421		
CE5118				
CE5119				
CE5120				
CE4790		53481425		HMDB0012474
CE4792				
CE4794				
CE2053		3081088		
CE2056		53481509		
CE3554		53481513		
CE5138		53481459		
CE5139		53481458		
CE5140		53481460		
CE5141				
CE5525		53481457		
CE2567				
CE7172		188277		
C06315	C06315	5280915	6499	HMDB0005082
C01264				
C06314	C06314	5280914	6498	HMDB0004385
C03820	C03820		16291	
C05769	C05769		28421	HMDB0000643
C05770	C05770		27609	HMDB0000570
C02469	C02469		15436	HMDB0000916
CE5122	C02060	439640	15538	HMDB0001359
CE5123		441263		
CE2416				
CE2414	C01607	26840	16285	HMDB0000801
CE2038		56927963		
CE5934				
C07297	C07297	441253		HMDB0002057
CE5935		53481419		HMDB0012471
CE5936				
CE5938		53481434		HMDB0012480
CE5940				
CE5939				
CE5941		53481417		HMDB0012470
CE5942				
CE4805				
CE5943				
CE4812				
CE2209		15818	36713	HMDB0000554
CE4811				
C04295	C04295	10634	2710	HMDB0003818
CE4810				
CE4821				
CE4819				
CE4817				
CE4816				
CE4824	C16167	23724644		HMDB0060222
CE4820				
CE4818				
CE2313				
CE2314	C15915	23724604		HMDB0006840
CE4826				
CE4827	C16169	23724646		HMDB0060198
CE4828	C16374	53477810		HMDB0006260
CE4825		53481432		HMDB0012479
CE6027				
CE4830				
CE4837	C16171	53477846		HMDB0006516
CE4833				
CE4831				
CE4835				
CE4834				
CE4849				
CE4832				
CE4838				
CE4841				
CE4840				
CE4842				
CE4843	C16180			
CE4845				
CE4844				
CE4846				
CE4847				
CE4852				
CE4854				
CE4850				
CE4848				
CE4853				
CE4855				
CE4851				
CE4801				
CE4803				
CE4800				
CE4796				
CE4802				
CE4804				
CE5049				
CE4806				
CE4798				
CE4799				
CE4808				
CE4807				
CE4797				
CE1562	C17938			
CE6031		159663		
CE5144				
CE5151				
CE5152				
CE5155	C16531	71448925	74106	HMDB0062217
CE5156				
CE5148				
CE5150				
CE5153				
CE5154				
C06199	C06199	68313	5764	HMDB0004366
CE6316				
CE5157				
CE5158				
CE2510	C16526	5282768	32425	HMDB0002231
doco13ac	C08316	5281116	28792	HMDB0002068
CE5160				
CE5161				
CE5162				
CE5168				
CE5169	C05467	440690	27379	HMDB0006891
CE4874				
C14826	C14826	5356421	38299	HMDB0004702
CE2049	C14829	10236635		HMDB0004705
C14825	C14825	6246154		HMDB0004701
CE2047	C14828	9966640		HMDB0004704
CE2305				
CE2303				
CE6317				HMDB0060063
CE2306				
CE2304				
12dgr120				
C14768	C14768	5283202	34450	HMDB0002190
C14770	C14770	5353269		HMDB0004673
C14769	C14769	5283203	34490	HMDB0002232
C14771	C14771	5283205	34157	HMDB0004264
CE7101				
CE6219				
CE2445		5283128	63981	HMDB0005087
CE5178		53481526		
CE2446		5283129	63982	HMDB0005088
CE5349				
CE5343				
CE5352				
CE5179				
CE5348				
CE5347				
CE5345				
CE5346				
CE5344				
CE5307				
CE5329				
CE5331				
CE5342				
CE5341				
CE5337				
CE5319				
C11821	C11821	250388	18072	HMDB0030097
CE7144		53481466		HMDB0012560
CE7145		53481462		
CE5956		735		
CE5316		6610221		
CE5309				
CE5313				
CE5314				
CE5315				
CE5306				
CE5308				
CE5310				
CE5311				
CE5312				
CE5305				
CE5321				
CE5325				
CE5323				
CE5328		6610221		
CE5326				
CE5327				
CE5318				
CE5320				
CE5322				
CE5324				
CE5317				
CE5527				
CE5922				
CE5528				
CE2061		526708		
CE5921				
CE6415		5230520		
CE6502		18172		
C04717	C04717	5280720	15655	HMDB0003871
C01601	C01601	8158	29019	HMDB0000847
CE6504				
CE2006		5283344	58968	HMDB0004362
CE6506				
CE5526				
CE5898		123167		
CE5920		54469261		
C08261	C08261	2266	48131	HMDB0000784
CE4876		114678		
CE5304		5283052		HMDB0062298
CE5944		53481445		
CE4987		53481449		
CE4988				
CE4989				
CE5945		53481447		
CE5946		53481448		
CE5947		53481507		
CE7074		53481468		HMDB0012562
CE7072		53481464		
CE5966				
CE5967				
CE5968				
CE5969				
CE5970				
CE5971				
CE5535				
CE5534				
CE5828				
CE5925				
CE5926				
CE5929				
CE5928				
CE5930				
CE5931				
CE5537				
CE5533				
CE5924		5283078		
CE7097				
C04805	C04805	5280733	28209	HMDB0011134
CE5815				
CE7096		5283158		
CE2084		1831		
h2	C00282	783	18276	HMDB0001362
CE1447		440862		
CE6508				
CE7079				
CE7091				
CE7082		5283192	88347	HMDB0062296
CE7083		5283125		
CE7084				
CE7085		1766		
CE7086		53481570		
CE7087		53481571		
CE7088		53481592		
CE7081		53480357		
CE7109				
CE7110				
CE7114				
CE7113		53481476		
CE7112				
CE7111				
CE7090	C18177	16061126	81563	HMDB0062222
CE7115				
CE0347		5312983		
CE6247		1589		
C08276	C08276	563	1438	HMDB0001527
ch4s	C00409	878	16007	HMDB0003227
acryl		6581		
C04849	C04849	5280743		HMDB0062619
CE6248				
C04843	C04843	46878369	15630	
CE6250				
CE6251		1412		
CE6240				
CE6241		53481597		
CE6242		53481603		
CE6243		53481598		
CE6245		53481596		
CE6244		53481595		
C03577	C03577	53481511	28700	HMDB0012639
CE5994		53481512		
CE5995		53481508		
CE6235		53481602		
C11304	C11304	5281898		
CE6183		53481487		
CE6184		53481490		
CE6185		53481589		
CE6182		53481505		
CE6186				
CE6187				
CE6230		53936694		
CE2537		5283145	17897	HMDB0005045
CE2516	C03242	5280581	53486	HMDB0002925
CE6232		53481591		
CE6189		53481542		
CE6192				
CE6198		53481480		
CE6226		53481478		
CE6188				
CE6193		53481489		
CE6190				
CE6191		53481494		
CE6204				
CE6227				
CE6225		53481482		
CE6228		53481473		
CE6229		53481472		
CE6234		5283048		
CE5976		53481456		
dec24dicoa		22833562		
dece3coa		16019966		
CE2089				
CE2088				
CE7220				
CE7218		192636		
C05767	C05767		27484	HMDB0000936
C05708	C05708	17754089		
C07535	C07535	2336	29865	
CN0012				
CN0009				
C14851	C14851	37786		
CN0010				
C14849	C14849	37456		
CN0011				
CN0020	C19488	6001	254496	HMDB0062429
CN0021				
CN0022				
CN0023				
CN0016		0	35861	HMDB0060116
CN0017				
CN0018				
CN0019				
adpac	C06104	196	30832	HMDB0000448
adpcoa		9543333		
c6dc				
3bcrn				
c10crn		10245190	68830	HMDB0000651
c101coa				
c101crn		53481651		
decdicoa		22833562		
decdicrn		53481669		HMDB0013325
c10dc				
sebcoa				
3deccrn				
ddeccrn		168381		
ddece1crn				
c12dccoa				
dodecanac		12736		
c12dc				
3ddcrn				
3tetd7ecoa				
tetdece1coa	C05273	5280767	27721	HMDB0003946
tetdece1crn		22833575		
3tetd7ecoacrn				
3ttetddcoa				
tetdec2coa				
tetdec2crn				
3ttetddcoacrn				
3tdcrn				
3hdeccoa				
3hdececrn				
3thexddcoa				
3thexddcoacrn				
hexdicoa				
c16dc		566787		
3hexdcoa		440600		
3hexdcrn		53481691		HMDB0013336
3octdece1coa				
3octdece1crn		53481697		HMDB0013339
3ocddcoa				
3octdec2crn				
3hodcoa		49859586		
3octdeccrn				
c3dc		22833583		
c4crn	C02862	439829		HMDB0002013
c4dc				
ivcrn		6426851		
c51crn		22833596		
c5dc		53481622		
hxcoa	C05270	440611	27540	HMDB0002845
c6crn		6426853		
c81coa		5280769		
c81crn		53481667		HMDB0013324
sbcoa				
c8dc				
dca	C01571	2969	30813	HMDB0000511
doco13ecoa		24892791		
docosdiac		244872		
3ivcrn				
dece4coa		6443609		
dec47dicoa				
dectricoa				
2decdicoa				
octe5coa				
3decdicoa				
tmuncoa				
undcoa		53481608		
noncoa		439607		
dd5ecoa				
2ddecdicoa		53480665		
3ddecdicoa		5280771		
2dodtricoa				
3dodtricoa				
tmtrdcoa	C07296	11966114	15495	HMDB0060167
tridcoa		53481606		
tetd7ecoa				
tetde5coa				
tetdecdicoa		21252281		
ttetddcoa		21252281		
5tedtricoa				
c14dccoa				
hexde7coa				
hexddcoa				
thexddcoa				
2hexdtricoa				
hexdtrcoa				
4hexdtricoa				
hexdectecoa				
3hexdtricoa				
2hexdtetcoa				
4hexdtetcoa				
hexdpencoa				
3hexdtetcoa				
hexdiac		10459		
octd11ecoa				
ocde9ecoa		5280355		
octdececoa				
2octdectecoa				
3octdectecoa				
2octpencoa				
3octpencoa				
ei11ecoa		24892790		
eitetcoa				
eipencoa				
5eipencoa				
2docopencoa				
docohexcoa				
3docopencoa				
2docohexecoa				
docohepcoa				
docosahexcoa				
omhdocosac		5282922		
pentcoa		439337		
3ivcoa		11953876		
hx2coa	C05271	5280765	28706	HMDB0003944
hexe3coa		53477848		
hepcoa		53481563		
dmhepcoa		53477808		HMDB0006258
omhdecacid				
sebacid	C08277	5192	41865	HMDB0000792
tdec4ecoa				
ctdecdcoa				
tddedi2coa				
tddedicoa		5280771		
ocdececrn		53477830		HMDB0006351
octdececrn				
subeac	C08278	10457	9300	HMDB0000893
alaala		5460362		
bglc				
glgchlo				
gltcho				
gltdechol				
glygly	C02037	11163	17201	HMDB0011733
glyleu	C02155	92843	185298	HMDB0000759
glyphe				HMDB0028848
glypro		79101	356660	HMDB0000721
glysar		93131		
gum				
gumdchac				
gumgchol				
gumtchol				
leugly				HMDB0028929
leuleu		94244		
pect	C08348	441476	47954	HMDB0003402
pectindchac				
pectingchol				
pectintchol				
progly		6426709		
psyl				
psylchol				
psyltchol				
psyltdechol				
oh1	C01328	961	16234	HMDB0001039
slfcys	C05824	115015	27891	HMDB0000731
HC01335	C04688			
m_em_3gacpail				
m_em_3gacpail_hs				
m_em_3gacpail_prot_hs				
15kprostgf2				
adpoh				
phlac				
and19one				
ttdceacoa				
21hprgnlone				
3mhis	C01152	64969	27596	HMDB0000479
hmcr	C02427	65072	17443	HMDB0000679
phacgly				
pcholmyr_hs	C04230	53480465		HMDB0010385
pcholole_hs	C04230	16081932		HMDB0002815
peole_hs				
pcholpalme_hs				
pcholpalm_hs				
pepalm_hs				
pailpalm_hs				
pcholste_hs	C04230	497299		HMDB0010384
peste_hs				
pailste_hs				
pchol2linl_hs				
pe2linl_hs				
pchol2ole_hs				
pchol2palm_hs				
pchol2ste_hs				
xolest183_hs		53480458	88756	HMDB0010369
xolest182_hs				
xolest181_hs				
xolest205_hs				
xolest204_hs				
xolest226_hs				
pcholn15_hs				
pcholar_hs				
pcholn183_hs				
pcholn1836_hs				
pcholn19_hs				
pcholn201_hs				
pcholn204_hs	C04230	53480469		HMDB0010396
pcholn205_hs				
pcholn224_hs				
pcholn225_hs				
pcholn2254_hs				
pcholn226_hs				
pear_hs				
pe203_hs				
pe226_hs				
pe224_hs				
pedh203_hs				
pe12_hs				
pe14_hs				
pe161_hs				
pe13_hs				
pe15_hs				
pe17_hs				
pcholn203_hs				
pailar_hs				
pcholn24_hs	C04230	24779481		HMDB0010405
pcholn261_hs				
pcholn281_hs				
pcholn28_hs				
pcholdoc_hs				
pcholeic_hs				
pcholet_hs				
pcholhep_hs	C04230	24779463	580913	HMDB0012108
pchollinl_hs				
pelinl_hs				
sphmyln18114_hs				
sphmyln18121_hs				
sphmyln181221_hs				
sphmyln18122_hs				
sphmyln18123_hs				
sphmyln180241_hs				
sphmyln1824_hs				
sphmyln1825_hs				
sphmyln18115_hs				
sphmyln181161_hs				
sphmyln18116_hs				
sphmyln18117_hs				
sphmyln18118_hs				
sphmyln181181_hs				
sphmyln181201_hs				
sphmyln18120_hs				
maglinl_hs				
magole_hs				
magpalm_hs				
magste_hs				
magarachi_hs				
eidi1114ac	C16525	6439848	603631	HMDB0005060
hxa				
tetdeca511ac				
glyc2p				
aclys				
hmcarn	C00884	10243361	491179	HMDB0000745
4mtob				
3mtp		521869		HMDB0031192
3hpppnohgluc				
3hpppn				
3hpppnoh				
abt_D				
acgly				
acthr_L				
aracheth				
didecaeth				
diholineth				
docohxeth		5283451	1006090	HMDB0013658
docteteth				
hepdeceth				
hexdeceeth				
lineth		5283446	64032	HMDB0012252
oleth		5283454	116103	HMDB0002088
pendecaeth				
pmeth	C16512	4671	147261	HMDB0002100
steeth		27902	386359	HMDB0013078
tetdecaeth				
trideceth				
txb2				
acile_L				
acleu_L				
achom_L				
urscholcoa				
7klitchol				
bzcoa				
pheacgly				
pcresol	C01468	2879	17847	HMDB0001858
pcs		4615423	82914	HMDB0011635
indole	C00463	798	16881	HMDB0000738
indoxyl				
inds				
3hcinnm		54694258	47928	HMDB0062774
3hppa				
alaargcys				
alaarggly				
alaasnleu				
alaglylys				
alahisala				
alalysthr				
argalaala				
argalaphe				
argalathr				
argarg				
argarglys				
argargmet				
argcysgly				
argcysser				
arggluglu				
argglupro				
argglygly				
arghisthr				
argleuphe				
arglysasp				
argphearg				
argpromet				
argprothr				
argserser				
argtyrval				
argvalcys				
argvaltrp				
asnasnarg				
asncyscys				
asnmetpro				
asnpheasp				
asnphecys				
asntyrgly				
asntyrphe				
asntyrthr				
aspalaarg				
aspasnglu				
aspglu				
aspglupro				
aspglutrp				
asphiscys				
asphispro				
asplysglu				
asplyshis				
aspmetasp				
aspprolys				
aspvalasn				
cysasnmet				
cysaspphe				
cyscys				
cysglnmet				
cysgluhis				
cysglutrp				
cysleuthr				
cyssermet				
cystyrasn				
glnasngln				
glnhishis				
glnhislys				
glnlyslys				
glnlystrp				
glnproglu				
glntrpglu				
glntyrleu				
gluargleu				
gluasnleu				
gluglu				
gluilelys				
gluleu				
glumet				
glumethis				
gluthr				
gluthrlys				
glutrpala				
glyhisasn				
glyhislys				
glylyscys				
glylysphe				
glytyrlys				
glyvalhis				
hisargcys				
hisargser				
hisasp				
hiscyscys				
hisglnala				
hisglu				
hisglugln				
hisglylys				
hishislys				
hislysala				
hislysglu				
hislysile				
hislysthr				
hislysval				
hismet				
hismetgln				
hisphearg				
hisprolys				
histrphis				
ileargile				
ileasnhis				
ileasp				
ileglnglu				
ileglyarg				
ileprolys				
ileserarg				
iletrptyr				
leualaarg				
leuasnasp				
leuasplys				
leuleutrp				
leupro				
leuproarg				
leusertrp				
leutrp				
leutrparg				
leutyrtyr				
leuval				
lysargleu				
lyscyshis				
lysglnphe				
lysgluglu				
lyslyslys				
lyspheile				
lystrparg				
lystyrile				
lysvalphe				
lysvaltrp				
metargleu				
metasntyr				
metglntyr				
metglyarg				
methislys				
